"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2003",0.292,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2006",0.292,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2010",0.267,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2011",0.267,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2012",0.267,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2013",0.267,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2014",0.26,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2015",0.26,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2016",0.268,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2017",0.268,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2018",0.268,
"AUS","FDIRESTR","TRANSPORT","RESTR","A","2019",0.268,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2003",1,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2006",1,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2010",0.182,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2011",0.182,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2012",0.182,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2013",0.182,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2014",0.182,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2015",0.182,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2016",0.182,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2017",0.182,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2018",0.182,
"AUT","FDIRESTR","TRANSPORT","RESTR","A","2019",0.182,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2003",0.206,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2006",0.114,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2010",0.114,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2011",0.114,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2012",0.114,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2013",0.114,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2014",0.114,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2015",0.114,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2016",0.114,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2017",0.114,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2018",0.114,
"BEL","FDIRESTR","TRANSPORT","RESTR","A","2019",0.114,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2003",0.807,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2006",0.807,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2010",0.277,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2011",0.277,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2012",0.277,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2013",0.277,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2014",0.277,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2015",0.267,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2016",0.267,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2017",0.262,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2018",0.245,
"CAN","FDIRESTR","TRANSPORT","RESTR","A","2019",0.245,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2003",0.333,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2006",0.333,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2010",0.075,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2011",0.075,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2012",0.075,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2013",0.075,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2014",0.075,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2015",0.075,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2016",0.075,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2017",0.075,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2018",0.075,
"CZE","FDIRESTR","TRANSPORT","RESTR","A","2019",0.075,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2003",0.158,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2006",0.158,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2010",0.083,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2011",0.083,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2012",0.083,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2013",0.083,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2014",0.083,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2015",0.083,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2016",0.083,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2017",0.083,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2018",0.083,
"DNK","FDIRESTR","TRANSPORT","RESTR","A","2019",0.083,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2003",0.45,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2006",0.363,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2010",0.092,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2011",0.092,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2012",0.092,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2013",0.092,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2014",0.092,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2015",0.092,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2016",0.092,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2017",0.092,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2018",0.092,
"FIN","FDIRESTR","TRANSPORT","RESTR","A","2019",0.092,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2003",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2006",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2010",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2011",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2012",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2013",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2014",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2015",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2016",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2017",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2018",0.15,
"FRA","FDIRESTR","TRANSPORT","RESTR","A","2019",0.15,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2003",0.292,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2006",0.292,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2010",0.2,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2011",0.2,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2012",0.2,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2013",0.2,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2014",0.2,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2015",0.2,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2016",0.2,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2017",0.2,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2018",0.2,
"DEU","FDIRESTR","TRANSPORT","RESTR","A","2019",0.2,
"GRC","FDIRESTR","TRANSPORT","RESTR","A","2003",0.165,
