Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S3,2019,2019,2019,2,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,5,,,0
S3,2019,2019,2019,2,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,160169039,,,4
S3,2019,2019,2019,2,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,248707386,,,0
S3,2019,2019,2019,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,7339076374,,,4
S3,2019,2019,2019,2,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,3823848784,,,4
S3,2019,2019,2019,2,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,98793764,,,0
S3,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,10534072281,,,4
S3,2019,2019,2019,2,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,208334343,,,0
S3,2019,2019,2019,2,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,670874,,,4
S3,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,1936723814,,,4
