Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S3,2019,2019,2019,2,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,2636728,,,0
S3,2019,2019,2019,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,64281509,,,4
S3,2019,2019,2019,2,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,647764390,,,4
S3,2019,2019,2019,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,2039211428,,,4
S3,2019,2019,2019,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,4976842227,,,4
S3,2019,2019,2019,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,99684485,,,4
S3,2019,2019,2019,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,6522724507,,,4
S3,2019,2019,2019,2,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,365302373,,,4
S3,2019,2019,2019,2,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,31226260,,,4
S3,2019,2019,2019,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,3953923602,,,0
S3,2019,2019,2019,2,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,3914178,,,4
S3,2019,2019,2019,2,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,15557113,,,4
S3,2019,2019,2019,2,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,791048007,,,4
S3,2019,2019,2019,2,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,103993697,,,4
S3,2019,2019,2019,2,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,6032426879,,,0
S3,2019,2019,2019,2,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,372273947,,,4
S3,2019,2019,2019,2,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,673038055,,,4
S3,2019,2019,2019,2,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,235644,,,4
S3,2019,2019,2019,2,0,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,12630045,,,4
S3,2019,2019,2019,2,0,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,653506363,,,4
S3,2019,2019,2019,2,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,49693014,,,4
S3,2019,2019,2019,2,0,1,Import,204,Benin,BEN,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,5157109,,,4
S3,2019,2019,2019,2,0,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,1142151673,,,4
S3,2019,2019,2019,2,0,1,Import,222,El Salvador,SLV,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,93130410,,,4
S3,2019,2019,2019,2,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,251728971,,,4
S3,2019,2019,2019,2,0,1,Import,246,Finland,FIN,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,850678357,,,4
S3,2019,2019,2019,2,0,1,Import,251,France,FRA,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,10170223147,,,4
S3,2019,2019,2019,2,0,1,Import,268,Georgia,GEO,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,47886399,,,4
S3,2019,2019,2019,2,0,1,Import,270,Gambia,GMB,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,948235,,,4
S3,2019,2019,2019,2,0,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,28683221262,,,4
S3,2019,2019,2019,2,0,1,Import,288,Ghana,GHA,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,77645983,,,4
S3,2019,2019,2019,2,0,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,1540286852,,,4
S3,2019,2019,2019,2,0,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,171870613,,,4
S3,2019,2019,2019,2,0,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,6856991903,,,4
S3,2019,2019,2019,2,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,2284484182,,,4
S3,2019,2019,2019,2,0,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,112824416,,,4
S3,2019,2019,2019,2,0,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,3206476035,,,4
S3,2019,2019,2019,2,0,1,Import,372,Ireland,IRL,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,665185240,,,4
S3,2019,2019,2019,2,0,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,795465000,,,4
S3,2019,2019,2019,2,0,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,14252241783,,,4
S3,2019,2019,2019,2,0,1,Import,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,57476894,,,4
S3,2019,2019,2019,2,0,1,Import,388,Jamaica,JAM,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,16218307,,,4
S3,2019,2019,2019,2,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,15632220018,,,4
S3,2019,2019,2019,2,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,289292640,,,4
S3,2019,2019,2019,2,0,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,273019899,,,0
S3,2019,2019,2019,2,0,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,11261048019,,,4
S3,2019,2019,2019,2,0,1,Import,418,Lao People's Dem. Rep.,LAO,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,24832823,,,4
S3,2019,2019,2019,2,0,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,86485737,,,4
S3,2019,2019,2019,2,0,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,220745419,,,4
S3,2019,2019,2019,2,0,1,Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,6980547,,,4
S3,2019,2019,2019,2,0,1,Import,450,Madagascar,MDG,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,10854326,,,4
S3,2019,2019,2019,2,0,1,Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,7056564144,,,4
S3,2019,2019,2019,2,0,1,Import,470,Malta,MLT,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,27388952,,,4
S3,2019,2019,2019,2,0,1,Import,480,Mauritius,MUS,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,0,,45438910,,,4
S3,2019,2019,2019,2,0,1,Import,484,Mexico,MEX,0,World,WLD,,,,,,,,68,NON-FERROUS METALS,1,No Quantity,0,,,,,,8449239888,,,0
