date,1. open,2. high,3. low,4. close,5. volume
2017-01-03,167.0,167.87,166.01,167.19,2934299.0
2017-01-04,167.77,169.87,167.36,169.26,3381232.0
2017-01-05,169.25,169.39,167.26,168.7,2682181.0
2017-01-06,168.69,169.92,167.52,169.53,2945536.0
2017-01-09,169.47,169.8,167.62,167.65,3189413.0
2017-01-10,167.98,168.09,165.34,165.52,4118694.0
2017-01-11,166.05,167.76,165.6,167.75,3599464.0
2017-01-12,167.77,168.01,165.56,167.95,2927953.0
2017-01-13,167.97,168.48,166.875,167.34,2875319.0
2017-01-17,166.69,168.18,166.1201,167.89,3315655.0
2017-01-18,167.45,168.59,166.69,166.8,4005626.0
2017-01-19,166.96,167.45,165.8,166.81,6963386.0
2017-01-20,167.81,170.64,166.0,170.55,12606847.0
2017-01-23,170.08,171.25,170.01,171.03,5477314.0
2017-01-24,171.36,176.0,171.16,175.9,6952369.0
2017-01-25,176.26,179.25,176.13,178.29,5922462.0
2017-01-26,178.06,178.88,177.51,178.66,3063911.0
2017-01-27,178.47,179.2,177.3,177.3,3482105.0
2017-01-30,176.98,177.07,174.5768,175.8,4093555.0
2017-01-31,175.05,175.58,173.61,174.52,4134049.0
2017-02-01,175.0,175.7025,172.89,174.29,2795445.0
2017-02-02,174.23,174.97,173.55,174.58,2620526.0
2017-02-03,175.0,176.34,174.89,175.82,3309179.0
2017-02-06,175.31,175.98,174.38,175.86,2650509.0
2017-02-07,176.0,178.62,175.9,178.46,3873233.0
2017-02-08,177.5,177.5,175.88,176.17,2913126.0
2017-02-09,176.17,177.8,175.91,177.21,3090710.0
2017-02-10,177.37,178.8701,176.76,178.68,2930710.0
2017-02-13,179.24,179.9,178.84,179.36,3093372.0
2017-02-14,178.57,180.13,178.35,180.13,2775818.0
2017-02-15,180.2,181.92,179.81,181.68,2914292.0
2017-02-16,181.45,182.79,180.87,181.43,3251547.0
2017-02-17,181.25,181.57,180.0,180.67,3552305.0
2017-02-21,180.6,180.79,179.12,180.26,4480199.0
2017-02-22,180.09,181.34,180.09,181.15,3020540.0
2017-02-23,182.0,182.5,180.92,181.65,2282526.0
2017-02-24,180.21,181.49,179.89,181.35,3299019.0
2017-02-27,181.19,181.25,179.28,179.4,3691209.0
2017-02-28,179.38,180.63,179.35,179.82,3273335.0
2017-03-01,180.48,182.55,180.03,181.95,3005564.0
2017-03-02,181.88,181.88,180.43,180.53,2918153.0
2017-03-03,180.04,181.32,179.7649,180.05,1825048.0
2017-03-06,179.72,180.99,179.57,180.47,3204434.0
2017-03-07,180.71,181.29,180.1997,180.38,2977596.0
2017-03-08,180.75,180.95,179.3,179.45,3557396.0
2017-03-09,179.15,179.25,175.88,177.18,5444076.0
2017-03-10,178.21,179.49,177.42,177.83,3100116.0
2017-03-13,177.85,178.06,176.415,176.46,3482189.0
2017-03-14,176.18,176.82,175.211,175.72,3147497.0
2017-03-15,175.71,176.28,174.75,175.81,3815537.0
2017-03-16,178.46,179.0,176.82,177.24,4311848.0
2017-03-17,176.29,176.79,175.65,175.65,5920967.0
2017-03-20,175.65,176.18,175.14,175.7,2476125.0
2017-03-21,176.01,176.23,173.84,173.88,3927741.0
2017-03-22,174.04,175.06,172.8,174.78,3450512.0
2017-03-23,174.43,175.67,173.56,174.82,3739976.0
2017-03-24,175.12,175.5,173.39,173.83,3221672.0
2017-03-27,172.69,174.16,172.0937,173.77,3259049.0
2017-03-28,173.94,175.0,173.0,174.51,3523345.0
2017-03-29,174.3,174.49,173.46,173.94,3085606.0
2017-03-30,173.86,174.59,173.69,173.86,3168254.0
2017-03-31,173.98,174.95,173.69,174.14,2913684.0
2017-04-03,173.82,174.87,173.38,174.5,4286498.0
2017-04-04,173.52,174.96,173.26,174.52,3108855.0
2017-04-05,174.7,176.33,172.81,172.88,6238894.0
2017-04-06,173.47,173.47,172.25,172.45,3435403.0
2017-04-07,172.08,172.93,171.28,172.14,3588302.0
2017-04-10,172.53,172.56,171.0,171.2,3789936.0
2017-04-11,170.65,171.23,168.98,170.58,4890163.0
2017-04-12,171.04,171.2,170.02,170.66,3276931.0
2017-04-13,169.92,171.36,169.53,169.53,3205462.0
2017-04-17,169.75,171.3,169.62,171.1,3720218.0
2017-04-18,170.79,171.69,169.83,170.05,6345465.0
2017-04-19,161.76,162.64,159.6,161.69,192843.0
2017-04-20,161.32,162.4,160.5,162.3,6486809.0
2017-04-21,162.05,162.11,160.38,160.38,5607756.0
2017-04-24,161.29,161.57,160.42,160.75,5320608.0
2017-04-25,161.78,162.04,160.38,160.39,4842189.0
2017-04-26,160.53,161.1,159.89,160.06,4311484.0
2017-04-27,160.29,160.48,159.63,160.32,4081640.0
2017-04-28,160.5,160.59,159.7,160.29,4029533.0
2017-05-01,160.05,160.42,158.7,158.84,4919710.0
2017-05-02,159.44,159.49,158.64,159.1,3149949.0
2017-05-03,158.74,159.45,158.52,158.63,3990429.0
2017-05-04,158.89,159.14,158.36,159.05,4271669.0
2017-05-05,153.52,155.78,153.0,155.05,12415240.0
2017-05-08,152.8,153.47,152.2,153.03,7415765.0
2017-05-09,152.6,153.1,151.5552,152.11,6823015.0
2017-05-10,151.651,152.37,151.13,151.25,4995590.0
2017-05-11,151.05,151.15,149.79,150.65,5546379.0
2017-05-12,150.3,151.265,150.0,150.37,3651964.0
2017-05-15,150.62,151.83,150.4502,151.51,4218359.0
2017-05-16,151.66,153.99,151.66,153.68,5452539.0
2017-05-17,153.3,154.14,150.89,150.93,5048937.0
2017-05-18,150.86,151.33,150.11,150.78,3268772.0
2017-05-19,151.01,152.46,150.89,151.98,5617824.0
2017-05-22,152.1,152.84,151.5992,152.64,3248372.0
2017-05-23,152.57,153.68,151.92,152.03,2563975.0
2017-05-24,152.21,152.76,151.23,152.51,3731333.0
2017-05-25,153.25,153.73,152.9459,153.2,2579828.0
2017-05-26,152.85,153.0,152.06,152.49,2440117.0
2017-05-30,151.95,152.67,151.59,151.73,3609710.0
2017-05-31,152.03,152.8,151.65,152.63,3496466.0
2017-06-01,152.8,152.87,151.63,152.67,2904189.0
2017-06-02,153.07,153.2,151.8,152.05,3573193.0
2017-06-05,151.82,152.93,151.6826,152.41,3971157.0
2017-06-06,152.0,152.89,152.0,152.37,3786593.0
2017-06-07,153.05,154.2,150.8,150.98,4858631.0
2017-06-08,151.0,152.82,150.92,152.1,3681319.0
2017-06-09,152.0,154.265,151.88,154.1,4355401.0
2017-06-12,154.19,157.2,154.02,155.18,6461725.0
2017-06-13,155.44,155.48,154.15,154.25,3509558.0
2017-06-14,153.97,154.9399,152.94,153.81,3035864.0
2017-06-15,153.29,154.69,153.29,154.22,4626272.0
2017-06-16,154.23,155.42,152.9676,155.38,6128190.0
2017-06-19,155.51,155.86,154.54,154.84,4381436.0
2017-06-20,154.48,155.389,154.25,154.95,4469538.0
2017-06-21,155.79,155.79,153.39,153.79,3934281.0
2017-06-22,154.55,154.99,153.69,154.4,2361275.0
2017-06-23,154.34,154.68,153.8,154.11,3148468.0
2017-06-26,154.71,155.75,154.63,155.23,2129945.0
2017-06-27,155.0,155.34,154.5,154.75,2385619.0
2017-06-28,155.15,155.55,154.78,155.32,2203062.0
2017-06-29,155.35,155.74,153.62,154.13,3245649.0
2017-06-30,154.28,154.5,153.14,153.83,3501395.0
2017-07-03,153.58,156.025,153.52,155.58,2822499.0
2017-07-05,155.77,155.89,153.63,153.67,3558639.0
2017-07-06,153.36,153.83,152.23,152.36,2735717.0
2017-07-07,152.62,153.49,152.14,152.94,2345721.0
2017-07-10,152.91,153.89,152.63,153.42,2804780.0
2017-07-11,153.26,153.65,152.05,153.19,3431418.0
2017-07-12,153.48,154.24,153.05,153.7,3090315.0
2017-07-13,153.7,154.19,153.19,153.63,2474847.0
2017-07-14,154.01,154.615,153.4,154.24,3214337.0
2017-07-17,153.59,153.88,152.2399,153.01,4751141.0
2017-07-18,152.36,154.29,152.0,154.0,6867302.0
2017-07-19,150.02,150.25,146.71,147.53,14043000.0
2017-07-20,147.53,148.83,147.03,147.66,7105481.0
2017-07-21,147.59,147.87,146.51,147.08,6456514.0
2017-07-24,147.0,147.04,145.8,145.99,3818232.0
2017-07-25,146.57,147.49,146.03,146.19,4184435.0
2017-07-26,146.27,146.46,144.47,145.36,3806651.0
2017-07-27,145.0,145.395,143.64,145.07,6374650.0
2017-07-28,144.81,145.04,143.84,144.29,3022662.0
2017-07-31,144.38,144.93,144.17,144.67,4333680.0
2017-08-01,145.0,145.39,144.4,145.16,3197848.0
2017-08-02,145.12,145.29,144.22,144.45,3400024.0
2017-08-03,144.43,145.34,144.43,144.94,3028769.0
2017-08-04,145.0,145.39,144.4,145.16,2542800.0
2017-08-07,145.0,145.09,142.75,143.47,4576508.0
2017-08-08,142.0,142.76,142.0,142.11,3281972.0
2017-08-09,141.75,142.03,141.19,141.77,2920582.0
2017-08-10,141.64,142.42,141.23,141.84,4378186.0
2017-08-11,142.45,142.59,141.52,141.84,3004040.0
2017-08-14,142.0,142.76,141.94,142.32,2222304.0
2017-08-15,142.55,143.34,140.58,142.07,4652618.0
2017-08-16,141.79,142.91,141.61,142.5,3239516.0
2017-08-17,142.52,142.89,140.7,140.7,4342286.0
2017-08-18,140.87,141.15,139.58,139.7,4128761.0
2017-08-21,139.59,140.42,139.13,140.33,2949410.0
2017-08-22,140.64,141.15,140.38,141.01,2495902.0
2017-08-23,140.7,143.05,140.68,142.14,4035421.0
2017-08-24,142.5,143.68,142.25,142.94,3580245.0
2017-08-25,143.3,144.19,143.25,143.74,2866131.0
2017-08-28,144.11,144.56,142.39,142.51,5086015.0
2017-08-29,142.1,143.425,141.9,143.14,3000993.0
2017-08-30,143.26,143.28,142.41,142.56,2715466.0
2017-08-31,143.02,143.66,142.63,143.03,3614517.0
2017-09-01,142.98,144.5,142.98,144.08,3348503.0
2017-09-05,143.5,144.3575,142.7,143.04,3097503.0
2017-09-06,143.88,144.47,143.5,143.82,3205295.0
2017-09-07,144.1,144.64,142.41,142.9,4155968.0
2017-09-08,143.15,143.15,141.64,142.45,3344701.0
2017-09-11,143.54,145.13,143.01,144.86,4549334.0
2017-09-12,145.11,146.37,144.51,145.76,5222522.0
2017-09-13,145.35,146.29,145.34,145.99,4070378.0
2017-09-14,145.86,146.38,145.51,145.54,3742944.0
2017-09-15,144.82,145.17,144.08,144.82,7297773.0
2017-09-18,144.81,145.4799,144.27,144.55,3018012.0
2017-09-19,144.79,144.98,144.22,144.39,3456574.0
2017-09-20,144.93,145.88,144.42,145.88,5384615.0
2017-09-21,145.65,145.8911,145.1,145.26,2289276.0
2017-09-22,145.59,145.59,144.59,145.13,2741663.0
2017-09-25,145.12,146.03,144.91,145.87,5179476.0
2017-09-26,146.36,147.42,145.94,146.56,4106513.0
2017-09-27,146.68,146.9,145.03,145.66,3446073.0
2017-09-28,145.33,145.86,144.21,145.66,2763219.0
2017-09-29,145.45,145.69,144.92,145.08,2635887.0
2017-10-02,145.35,146.865,145.21,146.66,2955450.0
2017-10-03,146.69,147.1999,146.34,146.78,2285725.0
2017-10-04,147.0,147.02,146.11,146.48,2225673.0
2017-10-05,146.68,147.54,146.48,146.72,2536971.0
