Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",1,No Quantity,0,,,,0,,21688,,,0
H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,2839,,,,2839,,487,,,0
H5,2017,2017,2017,4,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,60607,,,,60607,,1199,,,0
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,16853630,,,,16853630,,9345248,,,6
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,512099832,,,,512099832,,163204288,,,6
H5,2017,2017,2017,4,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,16398391,,,,16398391,,3398730,,,0
H5,2017,2017,2017,4,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,274288,,,,274288,,31154,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,1659344508,,,,1659344508,,309335667,,,0
H5,2017,2017,2017,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,5259,,,,5259,,5183,,,0
H5,2017,2017,2017,4,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,151241133,,,,151241133,,20355694,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,5934649,,,,5950333,,2623196,,,0
H5,2017,2017,2017,4,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,1729131,,,,1729131,,184875,,,0
H5,2017,2017,2017,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,50862391,,,,50862391,,9436557,,,0
H5,2017,2017,2017,4,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,1729,,,,1729,,148,,,0
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,1530001186,,,,1530001186,,88065300,,,0
H5,2017,2017,2017,4,0,2,Export,116,Cambodia,KHM,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,4555,,,,4555,,4705,,,6
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",1,No Quantity,0,,,,,,283408747,,,6
H5,2017,2017,2017,4,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,4417970,,,,4417970,,520358,,,0
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,372892,,,,372892,,123295,,,6
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,9124473611,,,,9124473611,,2872368043,,,6
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,5996316,,,,5996316,,2082668,,,0
H5,2017,2017,2017,4,0,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,6810,"Cement, concrete or artificial stone; whether or not reinforced, articles thereof",8,Weight in kilograms,9581015,,,,9581015,,4293192,,,0
