,Reporter,Year,Period,Aggregate Level,Is Leaf Code,Trade Flow Code,Reporter Code,Reporter ISO,Partner Code,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
0,Armenia,36360,3636081,36,0,30,918,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140110292,0.0,0.0,0
1,Australia,22220,2222026,22,0,24,396,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661070694,0.0,0.0,0
2,Azerbaijan,32320,3232072,32,0,24,496,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282705261,0.0,0.0,0
3,Barbados,26260,2626052,26,0,19,676,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10046864,0.0,0.0,0
4,Belarus,16160,1616028,16,0,12,896,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745843300,0.0,0.0,0
5,Belgium,20200,2020036,20,0,15,560,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7322369235,0.0,0.0,0
6,Belize,34340,3434074,34,0,27,1428,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12157337,0.0,0.0,0
7,Brazil,24240,2424030,24,0,28,912,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3831836665,0.0,0.0,0
8,Bulgaria,12120,1212012,12,0,9,600,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493332918,0.0,0.0,0
9,Canada,64640,6464144,64,0,80,3968,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6841084021,0.0,0.0,0
10,Chile,6060,606003,6,0,7,456,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165549971,0.0,0.0,0
11,"China, Hong Kong SAR",28280,2828056,28,0,21,4816,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304255160,0.0,0.0,0
12,"China, Macao SAR",32320,3232066,32,0,27,7136,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64950024,0.0,0.0,0
13,Colombia,16160,1616017,16,0,17,1360,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458525932,0.0,0.0,0
14,Costa Rica,12120,1212012,12,0,9,1128,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167204910,0.0,0.0,0
15,Croatia,28280,2828056,28,0,21,2674,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464419744,0.0,0.0,0
16,Czech Rep.,32320,3232072,32,0,24,3248,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5507943884,0.0,0.0,0
17,Denmark,32320,3232072,32,0,24,3328,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012649777,0.0,0.0,0
18,EU-28,24240,2424042,24,0,18,1164,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26789730502,0.0,0.0,0
19,Ecuador,24240,2424048,24,0,18,2616,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282853873,0.0,0.0,0
20,Egypt,24240,2424042,24,0,18,9816,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780636877,0.0,0.0,0
21,El Salvador,32320,3232072,32,0,24,3552,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244789768,0.0,0.0,0
22,Estonia,52520,5252125,52,0,60,6058,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618790662,0.0,0.0,0
23,Finland,28280,2828056,28,0,21,3444,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3575747049,0.0,0.0,0
24,Georgia,52520,5252118,52,0,56,6968,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289260046,0.0,0.0,0
25,Germany,24240,2424042,24,0,18,3312,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21571429084,0.0,0.0,0
26,Greece,32320,3232072,32,0,24,4800,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017526446,0.0,0.0,0
27,Guatemala,28280,2828056,28,0,21,4480,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647204727,0.0,0.0,0
28,Guyana,26260,2626044,26,0,21,4264,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20573361,0.0,0.0,0
29,Hungary,28280,2828056,28,0,21,4872,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2041284372,0.0,0.0,0
30,Iceland,32320,3232072,32,0,24,5632,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120874310,0.0,0.0,0
31,India,28280,2828056,28,0,21,9786,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10598410759,0.0,0.0,0
