"","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"1","H5",2017,2017,"2017",2,0,1,"Import",8,"Albania","ALB",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,27609811,NA,NA,0
"2","H5",2017,2017,"2017",2,0,1,"Import",12,"Algeria","DZA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,173314835,NA,NA,4
"3","H5",2017,2017,"2017",2,0,1,"Import",20,"Andorra","AND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,4792719,NA,NA,0
"4","H5",2017,2017,"2017",2,0,1,"Import",36,"Australia","AUS",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,822708524,NA,NA,4
"5","H5",2017,2017,"2017",2,0,1,"Import",40,"Austria","AUT",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,718643481,NA,NA,4
"6","H5",2017,2017,"2017",2,0,1,"Import",48,"Bahrain","BHR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,81407537,NA,NA,4
"7","H5",2017,2017,"2017",2,0,1,"Import",51,"Armenia","ARM",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,19152830,NA,NA,4
"8","H5",2017,2017,"2017",2,0,1,"Import",56,"Belgium","BEL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,868825009,NA,NA,4
"9","H5",2017,2017,"2017",2,0,1,"Import",60,"Bermuda","BMU",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,10505471,NA,NA,0
"10","H5",2017,2017,"2017",2,0,1,"Import",68,"Bolivia (Plurinational State of)","BOL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,24114704,NA,NA,4
"11","H5",2017,2017,"2017",2,0,1,"Import",70,"Bosnia Herzegovina","BIH",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,51367451,NA,NA,4
"12","H5",2017,2017,"2017",2,0,1,"Import",76,"Brazil","BRA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,429887276,NA,NA,0
"13","H5",2017,2017,"2017",2,0,1,"Import",96,"Brunei Darussalam","BRN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,75021182,NA,NA,4
"14","H5",2017,2017,"2017",2,0,1,"Import",100,"Bulgaria","BGR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,104414130,NA,NA,4
"15","H5",2017,2017,"2017",2,0,1,"Import",104,"Myanmar","MMR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,59914183,NA,NA,4
"16","H5",2017,2017,"2017",2,0,1,"Import",112,"Belarus","BLR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,122156400,NA,NA,4
"17","H5",2017,2017,"2017",2,0,1,"Import",116,"Cambodia","KHM",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,46034358,NA,NA,4
"18","H5",2017,2017,"2017",2,0,1,"Import",124,"Canada","CAN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,1689084709,NA,NA,0
"19","H5",2017,2017,"2017",2,0,1,"Import",144,"Sri Lanka","LKA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,37244191,NA,NA,4
"20","H5",2017,2017,"2017",2,0,1,"Import",152,"Chile","CHL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,134767947,NA,NA,4
"21","H5",2017,2017,"2017",2,0,1,"Import",156,"China","CHN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,1669702722,NA,NA,4
"22","H5",2017,2017,"2017",2,0,1,"Import",170,"Colombia","COL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,120616025,NA,NA,4
"23","H5",2017,2017,"2017",2,0,1,"Import",188,"Costa Rica","CRI",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,76973607,NA,NA,4
"24","H5",2017,2017,"2017",2,0,1,"Import",191,"Croatia","HRV",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,103840141,NA,NA,4
"25","H5",2017,2017,"2017",2,0,1,"Import",196,"Cyprus","CYP",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,36923477,NA,NA,0
