,index,Month,Reporter,2nd Partner,2nd Partner Code,2nd Partner ISO,Aggregate Level,Alt Qty,Alt Qty Unit,Alt Qty Unit Code,CIF Trade Value (US$),Commodity Code,Customs,Customs Proc. Code,FOB Trade Value (US$),Flag,Gross weight (kg),Is Leaf Code,Mode of Transport,Mode of Transport Code,Netweight (kg),Partner Code,Partner ISO,Period,Qty,Qty Unit,Qty Unit Code,Reporter Code,Reporter ISO,Trade Flow Code,Trade Value (US$),Unnamed: 0,Year
0,0,201901,Algeria,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,,0.0,,201701,,,,12.0,,1.0,212099459.0,,2017.0
1,1,201901,Angola,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,24.0,,1.0,12452246.0,0.0,2018.0
2,2,201901,Antigua and Barbuda,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,28.0,,1.0,573175.0,5.0,2018.0
3,3,201901,Argentina,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,32.0,,1.0,77972002.33333333,15.0,2018.0
4,4,201901,Armenia,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,51.0,,1.0,4681541.666666667,25.0,2018.0
5,5,201901,Aruba,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201901,,,,533.0,,1.0,859448.0,305.0,2019.0
6,6,201901,Australia,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,36.0,,1.0,91847893.33333333,20.0,2018.0
7,7,201901,Austria,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,,0.0,,201701,,,,40.0,,1.0,292888297.0,,2017.0
8,8,201901,Azerbaijan,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,,0.0,,201801,,,,31.0,,1.0,24212615.0,10.0,2018.0
9,9,201901,Bahrain,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201751,,,,48.0,,1.0,30195867.0,,2017.5
10,10,201901,Barbados,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,52.0,,1.0,867847.6666666666,30.0,2018.0
11,11,201901,Belarus,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,112.0,,1.0,117957066.66666667,72.0,2018.0
12,12,201901,Belgium,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,56.0,,1.0,1139498616.3333333,34.0,2018.0
13,13,201901,Belize,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,84.0,,1.0,1979498.0,57.0,2018.0
14,14,201901,Benin,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,204.0,,1.0,5944600.0,119.0,2018.0
15,15,201901,Bermuda,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201751,,,,60.0,,1.0,115495.5,,2017.5
16,16,201901,Bolivia,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,68.0,,1.0,42779166.333333336,39.0,2018.0
17,17,201901,Bosnia Herzegovina,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,,0.0,,201801,,,,70.0,,1.0,22599435.0,42.0,2018.0
18,18,201901,Botswana,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,72.0,,1.0,4319479.666666667,47.0,2018.0
19,19,201901,Brazil,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,76.0,,1.0,184857677.66666666,52.0,2018.0
20,20,201901,Brunei Darussalam,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201751,,,,96.0,,1.0,15678088.0,,2017.5
21,21,201901,Bulgaria,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,100.0,,1.0,100773963.33333333,67.0,2018.0
22,22,201901,Burundi,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201701,,,,108.0,,1.0,2347890.0,,2017.0
23,23,201901,Cabo Verde,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201851,,,,132.0,,1.0,1436576.0,82.0,2018.5
24,24,201901,Canada,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,124.0,,1.0,563473561.0,77.0,2018.0
25,25,201901,Chile,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,152.0,,1.0,123494919.33333333,84.0,2018.0
26,26,201901,China,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201701,,,,156.0,,1.0,1651997302.0,,2017.0
27,27,201901,"China, Hong Kong SAR",,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,344.0,,1.0,168360150.33333334,184.0,2018.0
28,28,201901,"China, Macao SAR",,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,446.0,,1.0,8252576.333333333,259.0,2018.0
29,29,201901,Colombia,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,170.0,,1.0,136340238.33333334,89.0,2018.0
30,30,201901,Comoros,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,174.0,,1.0,835853.3333333334,94.0,2018.0
31,31,201901,Congo,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,178.0,,1.0,2893895.0,99.0,2018.0
32,32,201901,Costa Rica,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,,0.0,,201801,,,,188.0,,1.0,60748642.0,,2018.0
33,33,201901,Croatia,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,191.0,,1.0,48703515.333333336,104.0,2018.0
34,34,201901,Cyprus,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,196.0,,1.0,10530006.666666666,109.0,2018.0
35,35,201901,Czech Rep.,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201851,,,,203.0,,1.0,605496372.0,114.0,2018.5
36,36,201901,CÃ´te d'Ivoire,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201901,,,,384.0,,1.0,28769139.0,214.0,2019.0
37,37,201901,Côte d'Ivoire,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201751,,,,384.0,,1.0,20038113.5,,2017.5
38,38,201901,Denmark,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,208.0,,1.0,185271379.0,124.0,2018.0
39,39,201901,Dominican Rep.,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,214.0,,1.0,60134424.0,,2018.0
40,40,201901,EU-28,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,97.0,,1.0,3330567260.0,62.0,2018.0
41,41,201901,Ecuador,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,218.0,,1.0,79855922.33333333,129.0,2018.0
42,42,201901,Egypt,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,,0.0,,201801,,,,818.0,,1.0,305367278.0,464.0,2018.0
43,43,201901,El Salvador,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,0.0,0.0,,201801,,,,222.0,,1.0,41060814.0,134.0,2018.0
44,44,201901,Estonia,,,,2.0,,,,,72.0,,,,0.0,,0.0,,,,0.0,,201801,,,,233.0,,1.0,44749639.666666664,139.0,2018.0
