"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2003",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2006",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2010",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2011",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2012",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2013",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2014",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2015",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2016",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2017",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2018",0.4,
"AUS","FDIRESTR","TELECOMMS","RESTR","A","2019",0.4,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2003",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2006",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2010",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2011",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2012",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2013",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2014",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2015",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2016",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2017",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2018",0,
"AUT","FDIRESTR","TELECOMMS","RESTR","A","2019",0,
"BEL","FDIRESTR","TELECOMMS","RESTR","A","2003",0.023,
"BEL","FDIRESTR","TELECOMMS","RESTR","A","2006",0.023,
"BEL","FDIRESTR","TELECOMMS","RESTR","A","2010",0.023,
"BEL","FDIRESTR","TELECOMMS","RESTR","A","2011",0.023,
"BEL","FDIRESTR","TELECOMMS","RESTR","A","2012",0.023,
"BEL","FDIRESTR","TELECOMMS","RESTR","A","2013",0.023,
"BEL","FDIRESTR","TELECOMMS","RESTR","A","2014",0.023,
