,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
0,HS,2020,202001,January 2020,2,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,41551296,,,0
1,HS,2020,202001,January 2020,2,0,2,Exports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1457186,,,0
2,HS,2020,202002,February 2020,2,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,33558411,,,0
3,HS,2020,202002,February 2020,2,0,2,Exports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2055280,,,0
4,HS,2020,202003,March 2020,2,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,43796883,,,0
5,HS,2020,202003,March 2020,2,0,2,Exports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2116063,,,0
6,HS,2020,202004,April 2020,2,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,39261501,,,0
7,HS,2020,202004,April 2020,2,0,2,Exports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1759998,,,0
8,HS,2020,202005,May 2020,2,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,27441636,,,0
9,HS,2020,202005,May 2020,2,0,2,Exports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1670471,,,0
10,HS,2020,202006,June 2020,2,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,24544327,,,0
11,HS,2020,202006,June 2020,2,0,2,Exports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1087581,,,0
12,HS,2020,202007,July 2020,2,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,29165144,,,0
13,HS,2020,202007,July 2020,2,0,2,Exports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,3272005,,,0
14,HS,2020,202008,August 2020,2,0,1,Imports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,27509967,,,0
15,HS,2020,202008,August 2020,2,0,2,Exports,31,Azerbaijan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2457512,,,0
16,HS,2020,202001,January 2020,2,0,1,Imports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,85739867,,,0
17,HS,2020,202001,January 2020,2,0,2,Exports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,69812391,,,0
18,HS,2020,202001,January 2020,2,0,4,Re-imports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,43298,,,0
19,HS,2020,202002,February 2020,2,0,1,Imports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,54484350,,,0
20,HS,2020,202002,February 2020,2,0,2,Exports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,86707052,,,0
21,HS,2020,202002,February 2020,2,0,4,Re-imports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,6770,,,0
22,HS,2020,202003,March 2020,2,0,1,Imports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,52253499,,,0
23,HS,2020,202003,March 2020,2,0,2,Exports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,129246199,,,0
24,HS,2020,202003,March 2020,2,0,4,Re-imports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,80754,,,0
25,HS,2020,202004,April 2020,2,0,1,Imports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,58163578,,,0
26,HS,2020,202004,April 2020,2,0,2,Exports,36,Australia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,124532936,,,0
27,HS,2020,202001,January 2020,2,0,1,Imports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,5728721,,,0
28,HS,2020,202001,January 2020,2,0,2,Exports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,10068530,,,0
29,HS,2020,202002,February 2020,2,0,1,Imports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,6133307,,,0
30,HS,2020,202002,February 2020,2,0,2,Exports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,7609458,,,0
31,HS,2020,202002,February 2020,2,0,3,Re-exports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,14580,,,0
32,HS,2020,202003,March 2020,2,0,1,Imports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,5663928,,,0
33,HS,2020,202003,March 2020,2,0,2,Exports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,13731176,,,0
34,HS,2020,202004,April 2020,2,0,1,Imports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,6280375,,,0
35,HS,2020,202004,April 2020,2,0,2,Exports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,11274343,,,0
36,HS,2020,202005,May 2020,2,0,1,Imports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,12436243,,,0
37,HS,2020,202005,May 2020,2,0,2,Exports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,8162103,,,0
38,HS,2020,202006,June 2020,2,0,1,Imports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,11104567,,,0
39,HS,2020,202006,June 2020,2,0,2,Exports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,8757140,,,0
40,HS,2020,202007,July 2020,2,0,1,Imports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,10489369,,,0
41,HS,2020,202007,July 2020,2,0,2,Exports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,7859386,,,0
42,HS,2020,202007,July 2020,2,0,3,Re-exports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,23481,,,0
43,HS,2020,202008,August 2020,2,0,1,Imports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,10350253,,,0
44,HS,2020,202008,August 2020,2,0,2,Exports,51,Armenia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,4423332,,,0
45,HS,2020,202001,January 2020,2,0,1,Imports,52,Barbados,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1081658,,,0
46,HS,2020,202001,January 2020,2,0,2,Exports,52,Barbados,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,440257,,,0
47,HS,2020,202002,February 2020,2,0,1,Imports,52,Barbados,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,452724,,,0
48,HS,2020,202002,February 2020,2,0,2,Exports,52,Barbados,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,423813,,,0
49,HS,2020,202003,March 2020,2,0,1,Imports,52,Barbados,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,532165,,,0
