date,ETR,ANSS,MSFT,GPN,SRE,MCO,AWK,FE,SPGI,MSI
2020-02-04,132.77,283.8564,178.27,202.1,161.395,266.74,136.315,51.85,299.76,178.3
2020-02-03,132.19,281.33,174.38,198.06,161.06,261.01,136.52,51.5,295.67,176.03
2020-01-31,131.52,274.33,170.23,195.45,160.64,256.79,136.2,50.79,293.73,177.0
2020-01-30,131.72,280.14,172.78,200.04,161.13,263.81,136.77,50.98,299.86,180.07
2020-01-29,130.55,277.72,168.04,199.27,158.68,260.67,136.04,50.97,297.31,179.42
2020-01-28,129.99,278.36,165.46,198.03,159.82,260.19,135.8,50.69,297.28,179.07
2020-01-27,129.55,270.7,162.28,195.5,158.54,255.12,135.25,50.26,293.13,178.0
2020-01-24,130.73,277.34,165.04,198.77,159.76,255.62,135.78,50.47,294.83,179.66
2020-01-23,129.95,277.71,166.72,199.78,160.06,257.09,135.29,50.35,297.19,177.04
2020-01-22,127.89,274.73,165.7,200.06,157.55,257.47,134.05,49.89,297.42,177.74
2020-01-21,127.36,273.82,166.5,198.79,157.96,256.34,133.22,49.3,296.2,176.94
2020-01-17,126.31,270.28,167.1,198.62,157.2,257.63,130.44,49.06,296.79,176.12
2020-01-16,124.95,266.81,166.17,195.95,155.18,256.05,128.57,48.78,298.19,172.86
2020-01-15,123.74,264.28,163.18,194.38,154.14,253.03,126.88,48.45,294.38,170.55
2020-01-14,121.58,262.87,162.13,191.31,151.22,249.43,124.57,48.04,290.17,168.34
2020-01-13,121.52,264.05,163.28,193.3,151.17,251.49,123.74,47.77,294.24,170.87
2020-01-10,120.61,260.8,161.34,190.44,149.76,248.03,122.56,47.64,288.94,167.3
2020-01-09,120.26,261.43,162.09,191.37,148.82,248.85,122.13,47.87,289.58,168.69
2020-01-08,118.96,257.73,160.09,188.86,149.9,245.62,120.49,47.62,285.01,165.89
2020-01-07,119.13,256.67,157.58,187.37,148.88,241.0,120.0,47.52,280.98,165.72
2020-01-06,119.15,254.59,159.03,187.97,149.0,241.87,120.75,47.55,279.04,166.92
2020-01-03,118.73,256.97,158.62,184.4,147.76,241.12,120.98,47.46,276.91,164.38
2020-01-02,117.93,259.59,160.62,185.67,149.12,241.72,120.2,47.53,277.84,161.63
2019-12-31,119.8,257.41,157.7,182.56,151.48,237.41,122.85,48.6,273.05,161.14
2019-12-30,119.28,256.8,157.59,181.35,151.05,237.66,123.05,48.49,271.94,160.96
2019-12-27,119.86,258.68,158.96,182.89,150.87,239.3,122.96,48.39,274.29,161.45
2019-12-26,119.52,258.33,158.67,183.49,151.62,239.06,121.88,48.51,273.56,161.38
2019-12-24,119.44,256.49,157.38,182.84,150.65,238.18,121.62,48.48,272.5,161.68
2019-12-23,118.57,255.73,157.41,182.26,150.56,237.06,121.39,48.39,271.37,162.2
2019-12-20,120.17,258.89,157.41,183.45,151.38,238.14,122.72,48.82,271.66,161.01
2019-12-19,119.51,255.75,155.71,183.39,152.03,238.2,121.66,48.71,272.48,161.11
2019-12-18,119.66,254.67,154.37,181.27,151.64,236.48,121.23,48.52,269.45,159.39
2019-12-17,118.82,257.07,154.69,180.47,150.12,235.36,120.9,48.28,271.56,160.98
2019-12-16,119.12,257.94,155.53,179.3,150.64,236.1,120.9,48.51,272.61,161.4
2019-12-13,118.3,253.93,154.53,178.93,148.78,235.08,119.2,47.95,271.2,160.5
2019-12-12,116.92,251.02,153.24,175.07,146.89,234.33,118.43,47.85,270.29,161.97
2019-12-11,118.18,251.63,151.7,174.99,148.77,233.25,120.9,48.02,272.15,161.78
2019-12-10,117.67,252.57,151.13,173.98,147.48,231.05,122.35,47.99,271.66,160.92
2019-12-09,118.18,255.08,151.36,175.18,145.83,230.55,122.48,48.12,272.06,161.5
2019-12-06,118.09,256.63,151.75,176.66,145.84,231.77,122.67,48.38,274.38,160.71
2019-12-05,118.42,252.99,149.93,176.92,147.39,229.36,123.38,48.41,271.54,160.44
2019-12-04,118.11,252.14,149.85,175.97,147.58,226.8,122.49,48.19,268.46,165.14
2019-12-03,116.92,250.37,149.31,177.42,147.92,224.8,121.19,47.74,264.0,164.86
2019-12-02,115.98,250.7,149.55,178.07,146.41,225.2,120.3,47.52,262.19,165.04
2019-11-29,116.39,254.69,151.38,181.1,147.27,226.67,121.03,47.69,264.65,167.3
2019-11-27,116.92,255.45,152.32,181.06,147.56,226.53,121.27,47.79,265.5,167.4
2019-11-26,116.47,252.48,152.03,180.52,146.89,226.73,121.03,47.77,266.9,166.36
2019-11-25,115.38,249.42,151.23,179.65,146.37,225.74,119.31,47.72,265.85,165.72
2019-11-22,115.72,246.38,149.59,178.65,146.6,222.95,119.04,47.34,265.21,165.85
2019-11-21,115.9,246.38,149.48,178.39,146.8,224.14,119.34,46.64,264.39,165.06
2019-11-20,117.06,245.49,149.62,180.51,147.86,223.91,120.57,46.87,268.1,166.36
2019-11-19,116.19,242.42,150.39,181.72,147.21,223.87,119.13,46.43,267.87,166.0
2019-11-18,116.89,238.67,150.34,179.63,147.63,221.38,118.68,46.77,264.08,162.96
2019-11-15,116.71,235.15,149.97,179.23,146.13,220.15,118.24,47.04,262.89,162.08
2019-11-14,116.89,229.37,148.06,177.5,145.47,218.86,117.85,46.74,260.0,161.74
