Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202003,March 2020,4,0,1,Imports,376,Israel,,0,World,,,,,,,,,3918,"Floor coverings of plastics, self-adhesive or not, in rolls or tiles; wall or ceiling coverings of plastics, in rolls of a width not less than 45cm",,,,,,,,,1350000,,,0
HS,2020,202003,March 2020,4,0,1,Imports,376,Israel,,0,World,,,,,,,,,7213,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils",,,,,,,,,25686000,,,0
HS,2020,202003,March 2020,4,0,1,Imports,276,Germany,,0,World,,,,,,,,,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",,,,,,,585970170,,21269744,,,0
HS,2020,202003,March 2020,4,0,1,Imports,276,Germany,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,189827189,,2428843,,,0
HS,2020,202003,March 2020,4,0,1,Imports,51,Armenia,,0,World,,,,,,,,,7213,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils",,,,,,,197763,,85029,,,0
HS,2020,202002,February 2020,4,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",,,,,,,38651410,,513716,,,0
HS,2020,202006,June 2020,4,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",,,,,,,182,,341,,,0
HS,2020,202006,June 2020,4,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,3918,"Floor coverings of plastics, self-adhesive or not, in rolls or tiles; wall or ceiling coverings of plastics, in rolls of a width not less than 45cm",,,,,,,306782,,357591,,,0
HS,2020,202006,June 2020,4,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (eg kieselguhr, tripolite or diatomite) or of similar siliceous earths",,,,,,,65564,,24067,,,0
HS,2020,202006,June 2020,4,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,7213,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils",,,,,,,1197230,,716370,,,0
HS,2020,202007,July 2020,4,0,1,Imports,300,Greece,,0,World,,,,,,,,,7213,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils",,,,,,,5685640,,2623618,,,0
HS,2020,202007,July 2020,4,0,1,Imports,300,Greece,,0,World,,,,,,,,,3918,"Floor coverings of plastics, self-adhesive or not, in rolls or tiles; wall or ceiling coverings of plastics, in rolls of a width not less than 45cm",,,,,,,629614,,1411213,,,0
HS,2020,202007,July 2020,4,0,1,Imports,233,Estonia,,0,World,,,,,,,,,3918,"Floor coverings of plastics, self-adhesive or not, in rolls or tiles; wall or ceiling coverings of plastics, in rolls of a width not less than 45cm",,,,,,,374825,,961703,,,0
HS,2020,202007,July 2020,4,0,1,Imports,233,Estonia,,0,World,,,,,,,,,7321,"Stoves, ranges, grates, cookers (those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances and parts, of iron or steel",,,,,,,152155,,746157,,,0
HS,2020,202007,July 2020,4,0,1,Imports,233,Estonia,,0,World,,,,,,,,,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (eg kieselguhr, tripolite or diatomite) or of similar siliceous earths",,,,,,,114,,79,,,0
HS,2020,202007,July 2020,4,0,1,Imports,233,Estonia,,0,World,,,,,,,,,7213,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils",,,,,,,877492,,445077,,,0
HS,2020,202007,July 2020,4,0,1,Imports,233,Estonia,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,96000,,6446,,,0
HS,2020,202007,July 2020,4,0,1,Imports,233,Estonia,,0,World,,,,,,,,,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",,,,,,,114577812,,1673345,,,0
HS,2020,202006,June 2020,4,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,7321,"Stoves, ranges, grates, cookers (those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances and parts, of iron or steel",,,,,,,195753,,886903,,,0
HS,2020,202002,February 2020,4,0,1,Imports,554,New Zealand,,0,World,,,,,,,,,3918,"Floor coverings of plastics, self-adhesive or not, in rolls or tiles; wall or ceiling coverings of plastics, in rolls of a width not less than 45cm",,,,,,,,,2347919,,,0
HS,2020,202006,June 2020,4,0,1,Imports,246,Finland,,0,World,,,,,,,,,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (eg kieselguhr, tripolite or diatomite) or of similar siliceous earths",,,,,,,3622,,9170,,,0
HS,2020,202002,February 2020,4,0,1,Imports,705,Slovenia,,0,World,,,,,,,,,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (eg kieselguhr, tripolite or diatomite) or of similar siliceous earths",,,,,,,30967,,7518,,,0
