Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202003,March 2020,2,0,1,Imports,376,Israel,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,124630000,,,0
HS,2020,202003,March 2020,2,0,1,Imports,376,Israel,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,,,19203000,,,0
HS,2020,202001,January 2020,2,0,1,Imports,376,Israel,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,,,18493000,,,0
HS,2020,202001,January 2020,2,0,1,Imports,376,Israel,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,124768000,,,0
HS,2020,202001,January 2020,2,0,1,Imports,376,Israel,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,,,28579000,,,0
HS,2020,202004,April 2020,2,0,1,Imports,807,TFYR of Macedonia,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,1364200,,,0
HS,2020,202004,April 2020,2,0,1,Imports,600,Paraguay,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,,,810484,,,0
HS,2020,202001,January 2020,2,0,1,Imports,604,Peru,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,4908254,,,0
HS,2020,202001,January 2020,2,0,1,Imports,604,Peru,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,7097040,,,0
HS,2020,202001,January 2020,2,0,1,Imports,604,Peru,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,108515602,,,0
