date,CME,GILD,WMT,COST,CCI,HUM,CMS,RSG,NEE,AEE
2020-03-06,216.26,80.22,117.23,311.34,160.82,367.01,67.89,95.52,271.82,85.35
2020-03-05,221.82,76.13,115.92,315.76,162.24,370.6,67.73,94.92,276.16,86.05
2020-03-04,223.63,76.01,116.77,320.74,163.56,372.34,68.35,96.56,282.22,87.07
2020-03-03,216.07,74.21,112.91,302.73,158.13,325.37,64.32,91.31,265.15,83.16
2020-03-02,209.4,75.4,115.88,309.14,156.24,345.36,64.14,94.08,268.35,84.42
2020-02-28,198.82,69.36,107.68,281.14,143.29,319.68,60.42,90.26,252.76,79.0
2020-02-27,210.39,72.66,110.4,293.13,148.4,314.33,62.82,91.34,255.85,81.57
2020-02-26,220.18,74.7,113.78,305.69,162.69,328.67,66.44,96.9,268.0035,85.21
2020-02-25,208.32,70.1,114.39,304.87,163.02,332.02,66.84,97.05,268.8588,83.56
2020-02-24,209.3,72.9,116.32,313.62,166.36,346.16,68.25,98.93,272.4492,84.82
2020-02-21,208.83,69.7,118.58,321.95,168.06,369.67,68.45,99.43,276.0793,85.34
2020-02-20,209.0,67.0,117.69,324.08,166.99,370.99,68.59,99.12,275.5224,85.66
2020-02-19,207.5,67.35,117.68,323.02,165.6,378.52,68.48,100.04,273.1752,85.88
2020-02-18,213.37,67.01,119.63,322.05,166.21,372.12,68.86,100.27,280.5051,86.75
2020-02-14,213.13,67.56,117.89,318.31,165.97,375.85,68.51,100.43,277.0042,86.79
2020-02-13,208.31,66.8,117.44,318.2,163.92,380.2,67.92,99.01,273.9708,85.75
2020-02-12,207.64,66.95,115.85,315.12,163.21,373.86,67.36,98.47,268.7892,84.57
2020-02-11,211.65,67.76,115.4,310.68,161.03,357.17,67.37,98.05,270.6689,84.27
2020-02-10,213.37,68.99,115.25,313.79,152.92,353.0,67.56,97.83,270.2611,83.98
2020-02-07,213.2,68.87,116.45,313.63,150.49,353.26,67.14,97.14,268.0731,83.6
2020-02-06,212.63,68.21,116.31,310.61,150.5,359.15,67.32,96.6,266.8697,83.17
2020-02-05,213.43,65.87,116.81,308.3048,149.96,364.8,67.5014,96.89,265.2585,82.68
2020-02-04,215.54,67.4,115.27,304.2633,150.45,342.75,66.9647,96.23,263.1003,82.27
2020-02-03,214.57,66.36,114.27,301.3693,149.19,333.09,68.068,95.84,265.358,82.63
2020-01-31,217.11,63.2,114.49,304.882,149.84,336.24,68.0978,95.05,266.7404,82.05
2020-01-30,218.78,64.03,116.58,308.8237,151.13,343.24,67.6604,95.73,268.461,81.9
2020-01-29,213.58,64.3,115.89,308.9335,149.05,351.57,66.905,94.47,264.3137,81.02
2020-01-28,213.21,64.36,116.6,310.2009,151.73,352.85,66.6665,94.36,264.3634,80.32
2020-01-27,212.99,63.83,115.86,308.8038,150.3,346.91,66.8454,94.64,265.2884,80.11
2020-01-24,209.24,63.15,114.37,309.8616,149.9,356.9,67.0839,94.64,262.2848,80.39
2020-01-23,208.24,63.94,115.81,312.2266,149.78,363.58,66.7062,94.41,258.6646,80.3
2020-01-22,207.48,63.43,116.1,311.2387,148.69,365.72,66.1496,94.33,258.4856,79.91
2020-01-21,206.86,62.63,115.59,312.6058,148.21,364.87,65.8116,93.81,255.492,80.03
2020-01-17,206.86,62.98,114.96,304.0437,145.25,366.55,65.255,93.46,252.021,79.75
2020-01-16,207.15,63.2,115.9,302.3972,145.23,367.13,64.9866,93.52,250.8971,79.21
2020-01-15,205.01,64.1,115.28,300.1918,144.05,364.07,64.3107,92.56,250.2109,78.2
2020-01-14,203.56,64.2,116.18,299.124,141.95,357.25,63.5056,92.14,246.3818,77.61
2020-01-13,204.14,64.31,115.88,299.2438,143.29,356.88,63.3068,91.83,245.059,77.63
2020-01-10,205.09,65.03,116.38,296.6193,142.4,364.12,62.6806,90.89,242.2246,77.01
2020-01-09,208.47,65.84,117.36,298.7947,140.25,364.51,62.3526,90.96,241.7671,76.59
