Date,TradeValue
2001-01-31,1227816
2001-02-28,1478396
2001-03-31,5185464
2001-04-30,1398072
2001-05-31,5607443
2001-06-30,9367854
2001-07-31,2735612
2001-08-31,3515818
2001-09-30,2021585
2001-10-31,4666746
2001-11-30,3344372
2001-12-31,6503985
2002-01-31,536476
2002-02-28,3278737
2002-03-31,3787366
2002-04-30,1734154
2002-05-31,3017523
2002-06-30,3878771
2002-07-31,4587350
2002-08-31,4803294
2002-09-30,4743163
2002-10-31,6552035
2002-11-30,1728707
2002-12-31,2869968
2003-01-31,1546634
2003-02-28,2143532
2003-03-31,1323453
2003-04-30,3104528
2003-05-31,2745764
2003-06-30,2854751
2003-07-31,1838266
2003-08-31,1609421
2003-09-30,5326074
2003-10-31,13856706
2003-11-30,6850142
2003-12-31,14563654
2004-01-31,6625483
2004-02-29,4511687
2004-03-31,7753281
2004-04-30,4933962
2004-05-31,5623836
2004-06-30,23520250
2004-07-31,4690727
2004-08-31,4775127
2004-09-30,15950555
2004-10-31,17262779
2004-11-30,7121656
2004-12-31,4446972
2005-01-31,9706640
2005-02-28,4988993
2005-03-31,5744723
2005-04-30,6911701
2005-05-31,5502277
2005-06-30,8124037
2005-07-31,12715782
2005-08-31,11043714
2005-09-30,8268002
2005-10-31,11422437
2005-11-30,6474379
2005-12-31,20768713
2006-01-31,6799514
2006-02-28,12709982
2006-03-31,4034229
2006-04-30,6065128
2006-05-31,6995554
2006-06-30,3918558
2006-07-31,8050290
2006-08-31,4185250
2006-09-30,4345473
2006-10-31,5233205
2006-11-30,6573119
2006-12-31,6015932
2007-01-31,3700270
2007-02-28,8667567
2007-03-31,6683843
2007-04-30,5485778
2007-05-31,5343934
2007-06-30,12505518
2007-07-31,3152415
2007-08-31,9119427
2007-09-30,8065410
2007-10-31,7601456
2007-11-30,6844255
2007-12-31,9450885
2008-01-31,69694844
2008-02-29,69401768
2008-03-31,42278929
2008-04-30,70767082
2008-05-31,37768299
2008-06-30,98256982
2008-07-31,91708725
2008-08-31,69050076
2008-09-30,87671908
2008-10-31,81139624
2008-11-30,35618768
2008-12-31,44820688
2009-01-31,39652641
2009-02-28,24357813
2009-03-31,38330948
2009-04-30,28398045
2009-05-31,18562107
2009-06-30,10493554
2009-07-31,17549436
2009-08-31,14189855
2009-09-30,27853724
2009-10-31,33533698
2009-11-30,26224533
2009-12-31,28651131
2010-01-31,398089714
2010-02-28,346126153
2010-03-31,369634474
2010-04-30,376787403
2010-05-31,420051994
2010-06-30,345936219
2010-07-31,395130622
2010-08-31,410770171
2010-09-30,480090573
2010-10-31,567140796
2010-11-30,469394095
2010-12-31,406762223
2011-01-31,516985499
2011-02-28,565452453
2011-03-31,665075322
2011-04-30,714524222
2011-05-31,725267557
2011-06-30,876029798
2011-07-31,657447589
2011-08-31,709454102
2011-09-30,658899066
2011-10-31,593060276
2011-11-30,548478054
2011-12-31,406866863
2012-01-31,487331611
2012-02-29,656387144
2012-03-31,483954806
2012-04-30,538603298
2012-05-31,544311827
2012-06-30,491802321
2012-07-31,421892472
2012-08-31,511817797
2012-09-30,442003329
2012-10-31,556694062
2012-11-30,483660603
2012-12-31,469970042
2013-01-31,562188542
2013-02-28,628943011
2013-03-31,731612717
2013-04-30,834350321
2013-05-31,689549124
2013-06-30,471320753
2013-07-31,469030989
2013-08-31,495780438
2013-09-30,558247373
2013-10-31,689290132
2013-11-30,539297711
2013-12-31,660101264
2014-01-31,804885963
2014-02-28,681484906
2014-03-31,668535684
2014-04-30,663439578
2014-05-31,670123689
2014-06-30,549957998
2014-07-31,668370014
2014-08-31,550631320
2014-09-30,686585136
2014-10-31,643032757
2014-11-30,439288871
2014-12-31,557244546
2015-01-31,645213858
2015-02-28,609629499
2015-03-31,768921345
2015-04-30,645482795
2015-05-31,573540952
2015-06-30,586800950
2015-07-31,556370118
2015-08-31,456687648
2015-09-30,545229016
2015-10-31,462789390
2015-11-30,378983974
2015-12-31,347688538
2016-01-31,420585957
2016-02-29,383636098
2016-03-31,442989339
2016-04-30,373955326
2016-05-31,418684974
2016-06-30,466321141
2016-07-31,596683062
2016-08-31,561490955
2016-09-30,748101039
2016-10-31,780104123
2016-11-30,720047685
2016-12-31,766439293
2017-01-31,820881901
2017-02-28,1108270995
2017-03-31,1428592726
2017-04-30,1608699957
2017-05-31,1450752873
2017-06-30,1269788360
2017-07-31,1017616560
2017-08-31,1100056104
2017-09-30,1126268904
2017-10-31,1500406259
2017-11-30,1257649101
2017-12-31,1207072777
2018-01-31,1351721558
2018-02-28,1107174551
2018-03-31,1195080599
2018-04-30,1116226728
2018-05-31,1055447423
2018-06-30,940903802
2018-07-31,840760785
2018-08-31,852388562
2018-09-30,1055771562
2018-10-31,1018163575
2018-11-30,861162763
2018-12-31,784243847
2019-01-31,643694487
2019-02-28,715009036
2019-03-31,812709295
2019-04-30,968931526
2019-05-31,747230570
2019-06-30,444930238
2019-07-31,644161374
2019-08-31,615231823
2019-09-30,832524719
2019-10-31,938975477
2019-11-30,754534694
2019-12-31,757959316
2020-01-31,622761155
2020-02-29,422627596
2020-03-31,298446454
2020-04-30,398847636
2020-05-31,237821417
2020-06-30,336257712
2020-07-31,478338153
2020-08-31,480996980
2020-09-30,266285910
2020-10-31,335036969
2020-11-30,3262576
