Date,TradeValue
2000-01-31,37516
2000-03-31,37144
2000-04-30,17943
2000-05-31,71244
2000-06-30,1738
2000-07-31,1418289
2000-08-31,47064
2000-09-30,2903
2000-10-31,111187
2000-11-30,9370
2000-12-31,18166
2001-01-31,144041
2001-02-28,37809
2001-03-31,129111
2001-04-30,46822
2001-05-31,53382
2001-06-30,138951
2001-07-31,94459
2001-08-31,64283
2001-09-30,50662
2001-10-31,101715
2001-11-30,107471
2001-12-31,6235
2002-01-31,21286
2002-02-28,82353
2002-03-31,15915
2002-04-30,92972
2002-05-31,7805
2002-06-30,56180
2002-12-31,39476
2003-01-31,78944
2003-02-28,104361
2003-03-31,31889
2003-04-30,131277
2003-10-31,358852
2003-11-30,23285
2003-12-31,71629
2004-01-31,219299
2004-02-29,73743
2004-03-31,133416
2004-04-30,161271
2004-05-31,108673
2004-06-30,511672
2004-07-31,173476
2005-11-30,2154212
2005-12-31,1647722
2006-01-31,972726
2006-02-28,1286487
2006-03-31,439303
2006-04-30,1804517
2006-05-31,722545
2006-06-30,1185498
2006-07-31,748507
2006-08-31,1308549
2007-02-28,3456620
2007-03-31,6510248
2007-04-30,2625599
2007-05-31,6584578
2007-06-30,9610116
2007-07-31,1352681
2007-08-31,4272468
2007-09-30,10651696
2007-10-31,12457123
2007-11-30,3030118
2007-12-31,5145124
2008-01-31,79615860
2008-02-29,66539531
2008-03-31,62547201
2008-04-30,73919131
2008-05-31,51491852
2008-06-30,92477520
2008-07-31,98301624
2008-08-31,105425596
2008-09-30,236327868
2008-10-31,77077497
2008-11-30,63565181
2008-12-31,86505003
2009-01-31,52725307
2009-02-28,46389567
2009-03-31,63935215
2009-04-30,24698558
2009-05-31,22860049
2009-06-30,18813436
2009-07-31,13457404
2009-08-31,14963136
2009-09-30,22672381
2009-10-31,22474681
2009-11-30,19707167
2009-12-31,13188392
2010-06-30,1775755007
2010-07-31,1855864874
2010-08-31,1907400361
2010-09-30,1830843503
2010-10-31,1365498011
2010-11-30,1425314553
2010-12-31,1209212825
2011-01-31,1446523661
2011-02-28,1292756585
2011-03-31,1793479293
2011-04-30,1954761721
2011-05-31,2568964624
2011-06-30,2614356699
2011-07-31,2519109527
2011-08-31,2618762687
2012-02-29,1622670678
2012-03-31,1941100196
2012-04-30,2043985850
2012-05-31,2374990478
2012-06-30,2386640739
2014-03-31,2495362769
2014-04-30,3115698824
2014-05-31,3311806927
2014-06-30,3227943091
2014-07-31,3328407249
2015-01-31,5619356109
2015-02-28,5112194765
2015-03-31,5056449671
2015-04-30,4442319063
2015-05-31,4302013541
2015-06-30,4685203516
2015-07-31,4773764906
2015-08-31,4702190314
2015-09-30,4824910587
2015-10-31,4891592230
2015-11-30,4047393336
2015-12-31,4037491481
2016-01-31,3990591028
2016-02-29,3864004198
2016-03-31,4130710278
2016-04-30,3981959431
2016-05-31,4405188349
2016-06-30,4984134352
2016-07-31,5151664458
2016-08-31,4471349739
2016-09-30,4646904396
2016-10-31,4143760104
2016-11-30,4211711855
2016-12-31,4073864615
2017-01-31,4437163714
2017-02-28,4386278833
2017-03-31,5182906108
2017-04-30,4418204362
2017-05-31,4963425212
2017-06-30,5209149782
2017-07-31,4294828681
2017-08-31,4428209596
2017-09-30,4217130334
2017-10-31,4457193942
2017-11-30,3993303220
2017-12-31,3658452250
2018-01-31,4004940992
2018-02-28,3639859075
2018-03-31,4009685261
2018-04-30,4590396698
2018-05-31,5245186247
2018-06-30,5123823475
2018-07-31,4593715213
2018-08-31,4804881140
2018-09-30,4090634666
2019-03-31,3446824244
2019-04-30,3507654038
2019-05-31,3519638052
2019-06-30,2571001316
2019-07-31,4290240334
2019-08-31,2835804256
2019-09-30,2791090579
2019-10-31,2855495738
2019-11-30,2533554335
2019-12-31,2389278801
2020-01-31,1343188474
2020-02-29,821091646
2020-03-31,886803986
2020-04-30,1033126038
2020-05-31,916452896
2020-06-30,671926505
2020-07-31,964807319
2020-08-31,390804279
2020-09-30,344650134
2020-10-31,29724032
